State/UTs,District,Geographical area,Very dense forest,Moderately dense forest,Open forest,Total,Percentage to Geographical Area,Change*,Scrub
Andhra Pradesh,Adilabad,16128,127,3650,2307,6084,37.72,-24,126
Andhra Pradesh,Anantapur,19130,0,73,353,426,2.23,-2,956
Andhra Pradesh,Chittoor,15151,7,929,1463,2399,15.83,-3,1566
Andhra Pradesh,East Godawari,10807,72,2519,970,3561,32.95,-1,168
Andhra Pradesh,Guntur,11391,0,219,644,863,7.58,-1,392
Andhra Pradesh,Hyderabad & Rangareddy,7710,0,49,342,391,5.07,-3,255
Andhra Pradesh,Cuddapah,15359,9,1898,1502,3409,22.20,-1,1304
Andhra Pradesh,Karimnagar,11823,0,980,703,1683,14.23,-11,370
Andhra Pradesh,Khammam,16029,28,5212,1872,7112,44.37,-56,42
Andhra Pradesh,Krishna,8727,0,83,230,313,3.59,0,214
Andhra Pradesh,Kumool,17658,59,1331,741,2131,12.07,-7,403
Andhra Pradesh,Mahboobnagar,18432,329,538,1077,1944,10.55,-5,326
Andhra Pradesh,Medak,9700,0,82,504,586,6.04,0,143
Andhra Pradesh,Nalgonda,14240,0,10,141,151,1.06,-8,359
Andhra Pradesh,Nellore,13076,5,261,671,937,7.17,-3,680
Andhra Pradesh,Nizamabad,7956,0,217,981,1198,15.06,-2,140
Andhra Pradesh,Prakasam,17626,172,1342,1590,3104,17.61,13,859
Andhra Pradesh,Srikakulam,5837,0,108,508,616,10.55,0,471
Andhra Pradesh,Vijainagaram,6539,0,145,604,749,11.45,0,342
Andhra Pradesh,Vishakhapatnam,11161,0,2054,1391,3445,30.87,0,1071
Andhra Pradesh,Warangal,12847,0,2436,655,3091,24.06,-14,157
Andhra Pradesh,West Godawari,7742,12,621,276,909,11.74,-1,28
Andhra Pradesh,Total,275069,820,24757,19525,45102,16.40,-129,10372
Arunachal Pradesh,Changlan,4662,1864,1460,931,4255,91.27,0,0
Arunachal Pradesh,Dibang Valley,13029,1696,4999,2622,9317,71.51,-12,5
Arunachal Pradesh,Kameng East™ & Kameng West,11556,3420,4648,2192,10260,88.79,6,35
Arunachal Pradesh,Lohit,11402,1966,4040,1625,7631,66.93,-7,0
Arunachal Pradesh,Popumpare,3462,990,1556,703,3249,93.85,-11,0
Arunachal Pradesh,Siang East,3655,884,1281,637,2802,76.66,-9,0
Arunachal Pradesh,Siang Upper,7050,1639,2633,1325,5597,79.39,-10,2
Arunachal Pradesh,Siang West,7813,2477,2741,1501,6719,86.00,-9,0
Arunachal Pradesh,Subansiri Lower,9548,3001,4250,1424,8675,90.86,-5,28
Arunachal Pradesh,Subansiri Upper,7032,1876,2749,1185,5810,82.62,-11,25
Arunachal Pradesh,Tawang,2172,366,484,375,1225,56.40,0,16
Arunachal Pradesh,Trap,2362,679,715,419,1813,76.76,-51,0
Arunachal Pradesh,Total,83743,20858,31556,14939,67353,80.43,-119,111
Assam,Barpeta,3245,35,181,185,401,12.36,0,0
Assam,Bongaigaon,2510,33,275,210,518,20.64,0,3
Assam,Cachar,3786,82,976,1173,2231,58.93,2,16
Assam,Darrang,3481,14,106,366,486,13.96,-9,2
Assam,Dhemaji,3237,7,125,158,290,8.96,-4,11
Assam,Dhubari,2798,21,202,194,417,14.90,-3,10
Assam,Dibrugarh,3381,29,169,560,758,22.42,2,0
Assam,Goal para,1824,1,70,265,336,18.42,-1,9
Assam,Golaghat,3502,6,123,392,521,14.88,-1,0
Assam,Hailakandi,1327,13,376,397,786,59.23,5,5
Assam,Jorhat,2851,2,114,494,610,21.40,7,0
Assam,Kammp,4345,68,611,753,1432,32.96,-2,26
Assam,Karbi Anglong,10434,578,3887,3493,7958,76.27,-37,25
Assam,Karimganj,1809,3,320,533,856,47.32,11,48
Assam,Kokrajhar,3169,208,738,217,1163,36.70,-19,1
Assam,Lakhimpur,2277,4,118,166,288,12.65,0,6
Assam,Morigaon,1704,6,41,85,132,7.75,0,3
Assam,North Cachar Hills,4888,136,1556,2564,4256,87.07,-12,1
Assam,Naogaon,3831,41,355,393,789,20.60,0,8
Assam,Nalbari,2257,4,70,208,282,12.49,0,0
Assam,Sibsagar,2668,8,144,541,693,25.97,4,1
Assam,Sonitpur,5324,56,290,607,953,17.90,-10,0
Assam,Tinsukia,3790,106,711,719,1536,40.53,1,4
Assam,Total,78438,1461,11558,14673,27692,35.30,-66,179
Bihar,Araria,2830,0,16,74,90,3.18,0,0
Bihar,Aurangabad,3305,0,54,97,151,4.57,0,13
Bihar,Banka,3022,0,111,110,221,7.31,2,12
Bihar,Begusarai,1918,0,20,23,43,2.24,0,0
Bihar,Bhabhua,3381,0,555,507,1062,31.41,0,20
Bihar,Bhagalpur,2567,0,29,13,42,1.64,0,0
Bihar,Bhojpur,2390,0,16,3,19,0.79,0,0
Bihar,Buxar,1708,0,2,1,3,0.18,0,0
Bihar,Darbhanga,2279,0,41,144,185,8.12,0,0
Bihar,Gaya,4976,0,124,506,630,12.66,4,46
Bihar,Gopalganj,2033,0,2,2,4,0.20,0,0
Bihar,Jamui,3107,0,383,249,632,20.34,-1,2
Bihar,Jehanabad,1569,0,2,1,3,0.19,0,5
Bihar,Katihar,3057,0,18,44,62,2.03,7,0
Bihar,Khagaria,1486,0,2,6,8,0.54,0,0
Bihar,Kishanganj,1884,0,26,49,75,3.98,9,0
Bihar,Lakhisarai,1356,0,180,14,194,14.31,0,2
Bihar,Madhepura,1788,0,6,20,26,1.45,0,0
Bihar,Madhubani,3501,0,18,118,136,3.88,0,0
Bihar,Munger,1347,0,251,14,265,19.67,0,7
Bihar,Muzaffarpur,3172,0,82,74,156,4.92,0,0
Bihar,Nalanda,2367,0,5,23,28,1.18,0,6
Bihar,Nawada,2494,0,187,323,510,20.45,1,10
Bihar,Pashchimi Champaran,5228,231,520,162,913,17.46,-25,0
Bihar,Patna,3202,0,13,3,16,0.50,0,0
Bihar,Purbi Charmparan,3968,0,76,88,164,4.13,-1,0
Bihar,Pumia,3229,0,6,41,47,1.46,0,0
Bihar,Rohtas,3832,0,321,385,706,18.42,1,11
Bihar,Saharsa,1680,0,2,9,11,0.65,0,0
Bihar,Samastipur,2904,0,39,18,57,1.96,0,0
Bihar,Saran,2641,0,38,17,55,2.08,0,0
Bihar,Sheikhpura,612,0,0,0,0,-,0,0
Bihar,Sheohar,572,0,2,17,19,3.32,0,0
Bihar,Sitamarhi,2071,0,18,64,82,3.96,0,0
Bihar,Siwan,2219,0,1,1,2,0.09,0,0
Bihar,Supaul,2432,0,8,93,101,4.15,0,0
Bihar,Vaishali,2036,0,74,12,86,4.22,0,0
Bihar,Total,94163,231,3248,3325,6804,723.00,-3,134
Chhattisgarh,Bastar,14974,1352,4341,2336,8029,53.62,9,8
Chhattisgarh,Bilaspur,8270,336,1631,531,2498,30.21,-3,6
Chhattisgarh,Dantewara,17634,1081,6175,4094,11350,64.36,0,23
Chhattisgarh,Durg,8549,43,523,203,769,9.00,0,3
Chhattisgarh,Janjgir-Champa,3852,4,26,127,157,4.08,2,2
Chhattisgarh,Jashpur,5838,111,1499,580,2190,37.51,0,11
Chhattisgarh,Kanker,6506,213,2062,837,3112,47.83,-10,1
Chhattisgarh,Kawardha,4223,70,1140,389,1599,37.86,-6,3
Chhattisgarh,Korba,6599,204,2308,842,3354,50.83,-3,6
Chhattisgarh,Korea,6604,79,2607,1430,4116,62.33,-36,3
Chhattisgarh,Mahasamund,4789,5,536,424,965,20.15,5,7
Chhattisgarh,Raigarh,7086,126,1704,732,2562,36.16,0,8
Chhattisgarh,Raipur & Dhamtari,16468,189,3848,1432,5469,33.21,0,7
